,State,Year,Month,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Predicted Value
3044,CT,2016,November,Heroin (T40.1),451,100.0,0.0165049184657028,Connecticut,451
3045,CT,2016,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",257,100.0,0.0165049184657028,Connecticut,258
3046,CT,2016,November,Psychostimulants with abuse potential (T43.6),24,100.0,0.0165049184657028,Connecticut,25
3048,CT,2016,November,Cocaine (T40.5),224,100.0,0.0165049184657028,Connecticut,225
3049,CT,2016,November,Methadone (T40.3),68,100.0,0.0165049184657028,Connecticut,69
3050,CT,2016,November,"Opioids (T40.0-T40.4,T40.6)",834,100.0,0.0165049184657028,Connecticut,834
3051,CT,2016,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",629,100.0,0.0165049184657028,Connecticut,629
3052,CT,2016,November,Number of Drug Overdose Deaths,939,100.0,0.0165049184657028,Connecticut,939
3053,CT,2016,November,Natural & semi-synthetic opioids (T40.2),201,100.0,0.0165049184657028,Connecticut,202
3054,CT,2016,October,"Opioids (T40.0-T40.4,T40.6)",814,100.0,0.0165809981760902,Connecticut,814
3055,CT,2016,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",250,100.0,0.0165809981760902,Connecticut,251
3057,CT,2016,October,"Synthetic opioids, excl. methadone (T40.4)",438,100.0,0.0165809981760902,Connecticut,439
3059,CT,2016,October,Natural & semi-synthetic opioids (T40.2),195,100.0,0.0165809981760902,Connecticut,196
3060,CT,2016,October,Number of Drug Overdose Deaths,918,100.0,0.0165809981760902,Connecticut,918
3061,CT,2016,October,Psychostimulants with abuse potential (T43.6),26,100.0,0.0165809981760902,Connecticut,27
3062,CT,2016,October,Methadone (T40.3),66,100.0,0.0165809981760902,Connecticut,67
3063,CT,2016,October,Heroin (T40.1),443,100.0,0.0165809981760902,Connecticut,443
3064,CT,2016,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",603,100.0,0.0165809981760902,Connecticut,603
3065,CT,2016,October,Cocaine (T40.5),223,100.0,0.0165809981760902,Connecticut,224
3067,CT,2016,September,"Opioids (T40.0-T40.4,T40.6)",832,100.0,0.0166179207657538,Connecticut,832
3068,CT,2016,September,Number of Drug Overdose Deaths,929,100.0,0.0166179207657538,Connecticut,929
3070,CT,2016,September,Natural & semi-synthetic opioids (T40.2),192,100.0,0.0166179207657538,Connecticut,193
3071,CT,2016,September,Cocaine (T40.5),223,100.0,0.0166179207657538,Connecticut,224
3072,CT,2016,September,"Synthetic opioids, excl. methadone (T40.4)",443,100.0,0.0166179207657538,Connecticut,444
3073,CT,2016,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",247,100.0,0.0166179207657538,Connecticut,248
3074,CT,2016,September,Heroin (T40.1),456,100.0,0.0166179207657538,Connecticut,456
3075,CT,2016,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",609,100.0,0.0166179207657538,Connecticut,609
3076,CT,2016,September,Psychostimulants with abuse potential (T43.6),25,100.0,0.0166179207657538,Connecticut,26
3077,CT,2016,September,Methadone (T40.3),65,100.0,0.0166179207657538,Connecticut,66
3078,CT,2017,April,Psychostimulants with abuse potential (T43.6),28,100.0,0.025720991544224,Connecticut,29
3079,CT,2017,April,Cocaine (T40.5),267,100.0,0.025720991544224,Connecticut,268
3081,CT,2017,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",745,100.0,0.025720991544224,Connecticut,746
3083,CT,2017,April,"Opioids (T40.0-T40.4,T40.6)",903,100.0,0.025720991544224,Connecticut,903
3084,CT,2017,April,Number of Drug Overdose Deaths,1018,100.0,0.025720991544224,Connecticut,1018
3085,CT,2017,April,Natural & semi-synthetic opioids (T40.2),209,100.0,0.025720991544224,Connecticut,210
3086,CT,2017,April,Heroin (T40.1),465,100.0,0.025720991544224,Connecticut,466
3087,CT,2017,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",275,100.0,0.025720991544224,Connecticut,276
3088,CT,2017,April,Methadone (T40.3),78,100.0,0.025720991544224,Connecticut,79
3089,CT,2017,April,"Synthetic opioids, excl. methadone (T40.4)",581,100.0,0.025720991544224,Connecticut,582
3091,CT,2017,August,"Opioids (T40.0-T40.4,T40.6)",968,100.0,0.0191241155096577,Connecticut,968
3093,CT,2017,August,Cocaine (T40.5),294,100.0,0.0191241155096577,Connecticut,295
3094,CT,2017,August,Heroin (T40.1),471,100.0,0.0191241155096577,Connecticut,471
3095,CT,2017,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",289,100.0,0.0191241155096577,Connecticut,290
3096,CT,2017,August,Methadone (T40.3),87,100.0,0.0191241155096577,Connecticut,88
3097,CT,2017,August,Natural & semi-synthetic opioids (T40.2),214,100.0,0.0191241155096577,Connecticut,215
3098,CT,2017,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",813,100.0,0.0191241155096577,Connecticut,813
3099,CT,2017,August,"Synthetic opioids, excl. methadone (T40.4)",648,100.0,0.0191241155096577,Connecticut,649
3100,CT,2017,August,Number of Drug Overdose Deaths,1081,100.0,0.0191241155096577,Connecticut,1081
3101,CT,2017,August,Psychostimulants with abuse potential (T43.6),29,100.0,0.0191241155096577,Connecticut,30
3103,CT,2017,December,Cocaine (T40.5),290,100.0,0.00951112801978315,Connecticut,291
3104,CT,2017,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",271,100.0,0.00951112801978315,Connecticut,272
3105,CT,2017,December,Natural & semi-synthetic opioids (T40.2),186,100.0,0.00951112801978315,Connecticut,187
3106,CT,2017,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",848,100.0,0.00951112801978315,Connecticut,848
3107,CT,2017,December,"Opioids (T40.0-T40.4,T40.6)",967,100.0,0.00951112801978315,Connecticut,967
3109,CT,2017,December,Heroin (T40.1),428,100.0,0.00951112801978315,Connecticut,428
3110,CT,2017,December,Number of Drug Overdose Deaths,1080,100.0,0.00951112801978315,Connecticut,1080
3111,CT,2017,December,"Synthetic opioids, excl. methadone (T40.4)",696,100.0,0.00951112801978315,Connecticut,696
3112,CT,2017,December,Methadone (T40.3),95,100.0,0.00951112801978315,Connecticut,96
3113,CT,2017,December,Psychostimulants with abuse potential (T43.6),39,100.0,0.00951112801978315,Connecticut,40
3114,CT,2017,February,"Opioids (T40.0-T40.4,T40.6)",878,100.0,0.0257873190858395,Connecticut,878
3115,CT,2017,February,"Synthetic opioids, excl. methadone (T40.4)",545,100.0,0.0257873190858395,Connecticut,546
3117,CT,2017,February,Psychostimulants with abuse potential (T43.6),26,100.0,0.0257873190858395,Connecticut,27
3118,CT,2017,February,Methadone (T40.3),70,100.0,0.0257873190858395,Connecticut,71
3119,CT,2017,February,Natural & semi-synthetic opioids (T40.2),205,100.0,0.0257873190858395,Connecticut,206
3120,CT,2017,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",262,100.0,0.0257873190858395,Connecticut,263
3122,CT,2017,February,Cocaine (T40.5),247,100.0,0.0257873190858395,Connecticut,248
3123,CT,2017,February,Heroin (T40.1),468,100.0,0.0257873190858395,Connecticut,469
3124,CT,2017,February,Number of Drug Overdose Deaths,994,100.0,0.0257873190858395,Connecticut,994
3125,CT,2017,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",701,100.0,0.0257873190858395,Connecticut,702
3127,CT,2017,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",263,100.0,0.0259453849646494,Connecticut,264
3128,CT,2017,January,"Synthetic opioids, excl. methadone (T40.4)",527,100.0,0.0259453849646494,Connecticut,528
3129,CT,2017,January,"Opioids (T40.0-T40.4,T40.6)",874,100.0,0.0259453849646494,Connecticut,874
3130,CT,2017,January,Number of Drug Overdose Deaths,985,100.0,0.0259453849646494,Connecticut,985
3132,CT,2017,January,Psychostimulants with abuse potential (T43.6),23,100.0,0.0259453849646494,Connecticut,24
3133,CT,2017,January,Methadone (T40.3),67,100.0,0.0259453849646494,Connecticut,68
3134,CT,2017,January,Natural & semi-synthetic opioids (T40.2),209,100.0,0.0259453849646494,Connecticut,210
3135,CT,2017,January,Cocaine (T40.5),250,100.0,0.0259453849646494,Connecticut,251
3136,CT,2017,January,Heroin (T40.1),470,100.0,0.0259453849646494,Connecticut,471
3137,CT,2017,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",687,100.0,0.0259453849646494,Connecticut,688
3138,CT,2017,July,Heroin (T40.1),474,100.0,0.0223321103844313,Connecticut,475
3139,CT,2017,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",294,100.0,0.0223321103844313,Connecticut,295
3140,CT,2017,July,Cocaine (T40.5),286,100.0,0.0223321103844313,Connecticut,287
3142,CT,2017,July,"Opioids (T40.0-T40.4,T40.6)",965,100.0,0.0223321103844313,Connecticut,965
3144,CT,2017,July,Number of Drug Overdose Deaths,1074,100.0,0.0223321103844313,Connecticut,1074
3145,CT,2017,July,Psychostimulants with abuse potential (T43.6),34,100.0,0.0223321103844313,Connecticut,35
3146,CT,2017,July,"Synthetic opioids, excl. methadone (T40.4)",641,100.0,0.0223321103844313,Connecticut,642
3147,CT,2017,July,Methadone (T40.3),87,100.0,0.0223321103844313,Connecticut,88
3148,CT,2017,July,Natural & semi-synthetic opioids (T40.2),220,100.0,0.0223321103844313,Connecticut,221
3149,CT,2017,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",813,100.0,0.0223321103844313,Connecticut,814
3150,CT,2017,June,"Opioids (T40.0-T40.4,T40.6)",940,100.0,0.0224014336917563,Connecticut,940
3152,CT,2017,June,"Synthetic opioids, excl. methadone (T40.4)",610,100.0,0.0224014336917563,Connecticut,611
3153,CT,2017,June,Natural & semi-synthetic opioids (T40.2),217,100.0,0.0224014336917563,Connecticut,218
3154,CT,2017,June,Psychostimulants with abuse potential (T43.6),31,100.0,0.0224014336917563,Connecticut,32
3155,CT,2017,June,Heroin (T40.1),474,100.0,0.0224014336917563,Connecticut,475
3156,CT,2017,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",287,100.0,0.0224014336917563,Connecticut,288
3157,CT,2017,June,Number of Drug Overdose Deaths,1056,100.0,0.0224014336917563,Connecticut,1056
3158,CT,2017,June,Methadone (T40.3),85,100.0,0.0224014336917563,Connecticut,86
3159,CT,2017,June,Cocaine (T40.5),278,100.0,0.0224014336917563,Connecticut,279
3161,CT,2017,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",780,100.0,0.0224014336917563,Connecticut,781
3162,CT,2017,March,Heroin (T40.1),476,100.0,0.025756600128782996,Connecticut,477
3164,CT,2017,March,Cocaine (T40.5),259,100.0,0.025756600128782996,Connecticut,260
3165,CT,2017,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",274,100.0,0.025756600128782996,Connecticut,275
3166,CT,2017,March,Psychostimulants with abuse potential (T43.6),29,100.0,0.025756600128782996,Connecticut,30
3167,CT,2017,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",738,100.0,0.025756600128782996,Connecticut,739
3168,CT,2017,March,Natural & semi-synthetic opioids (T40.2),214,100.0,0.025756600128782996,Connecticut,215
3170,CT,2017,March,"Opioids (T40.0-T40.4,T40.6)",905,100.0,0.025756600128782996,Connecticut,905
3171,CT,2017,March,Number of Drug Overdose Deaths,1019,100.0,0.025756600128782996,Connecticut,1019
3172,CT,2017,March,"Synthetic opioids, excl. methadone (T40.4)",576,100.0,0.025756600128782996,Connecticut,577
3173,CT,2017,March,Methadone (T40.3),73,100.0,0.025756600128782996,Connecticut,74
3174,CT,2017,May,"Opioids (T40.0-T40.4,T40.6)",926,100.0,0.0257102455328448,Connecticut,926
3175,CT,2017,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",292,100.0,0.0257102455328448,Connecticut,293
3177,CT,2017,May,Methadone (T40.3),81,100.0,0.0257102455328448,Connecticut,82
3178,CT,2017,May,Number of Drug Overdose Deaths,1046,100.0,0.0257102455328448,Connecticut,1046
3179,CT,2017,May,"Synthetic opioids, excl. methadone (T40.4)",601,100.0,0.0257102455328448,Connecticut,602
3181,CT,2017,May,Natural & semi-synthetic opioids (T40.2),224,100.0,0.0257102455328448,Connecticut,225
3182,CT,2017,May,Psychostimulants with abuse potential (T43.6),30,100.0,0.0257102455328448,Connecticut,31
3183,CT,2017,May,Heroin (T40.1),473,100.0,0.0257102455328448,Connecticut,474
3184,CT,2017,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",772,100.0,0.0257102455328448,Connecticut,773
3185,CT,2017,May,Cocaine (T40.5),280,100.0,0.0257102455328448,Connecticut,281
3186,CT,2017,November,Cocaine (T40.5),285,100.0,0.0159114052953157,Connecticut,286
3188,CT,2017,November,Number of Drug Overdose Deaths,1066,100.0,0.0159114052953157,Connecticut,1066
3189,CT,2017,November,Psychostimulants with abuse potential (T43.6),35,100.0,0.0159114052953157,Connecticut,36
3190,CT,2017,November,"Opioids (T40.0-T40.4,T40.6)",959,100.0,0.0159114052953157,Connecticut,959
3191,CT,2017,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",272,100.0,0.0159114052953157,Connecticut,273
3192,CT,2017,November,Natural & semi-synthetic opioids (T40.2),191,100.0,0.0159114052953157,Connecticut,192
3193,CT,2017,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",830,100.0,0.0159114052953157,Connecticut,830
3195,CT,2017,November,Methadone (T40.3),90,100.0,0.0159114052953157,Connecticut,91
3196,CT,2017,November,"Synthetic opioids, excl. methadone (T40.4)",677,100.0,0.0159114052953157,Connecticut,678
3197,CT,2017,November,Heroin (T40.1),434,100.0,0.0159114052953157,Connecticut,434
3198,CT,2017,October,"Synthetic opioids, excl. methadone (T40.4)",675,100.0,0.0158674748500524,Connecticut,676
3200,CT,2017,October,Psychostimulants with abuse potential (T43.6),31,100.0,0.0158674748500524,Connecticut,32
3201,CT,2017,October,Heroin (T40.1),458,100.0,0.0158674748500524,Connecticut,458
3202,CT,2017,October,"Opioids (T40.0-T40.4,T40.6)",979,100.0,0.0158674748500524,Connecticut,979
3203,CT,2017,October,Methadone (T40.3),83,100.0,0.0158674748500524,Connecticut,84
3204,CT,2017,October,Cocaine (T40.5),285,100.0,0.0158674748500524,Connecticut,286
3205,CT,2017,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",280,100.0,0.0158674748500524,Connecticut,281
3207,CT,2017,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",837,100.0,0.0158674748500524,Connecticut,837
3208,CT,2017,October,Number of Drug Overdose Deaths,1092,100.0,0.0158674748500524,Connecticut,1092
3209,CT,2017,October,Natural & semi-synthetic opioids (T40.2),207,100.0,0.0158674748500524,Connecticut,208
3211,CT,2017,September,Methadone (T40.3),81,100.0,0.0158513774847034,Connecticut,82
3212,CT,2017,September,"Synthetic opioids, excl. methadone (T40.4)",654,100.0,0.0158513774847034,Connecticut,655
3214,CT,2017,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",281,100.0,0.0158513774847034,Connecticut,282
3215,CT,2017,September,Number of Drug Overdose Deaths,1083,100.0,0.0158513774847034,Connecticut,1083
3216,CT,2017,September,Psychostimulants with abuse potential (T43.6),31,100.0,0.0158513774847034,Connecticut,32
3217,CT,2017,September,Heroin (T40.1),464,100.0,0.0158513774847034,Connecticut,464
3218,CT,2017,September,"Opioids (T40.0-T40.4,T40.6)",967,100.0,0.0158513774847034,Connecticut,967
3219,CT,2017,September,Cocaine (T40.5),289,100.0,0.0158513774847034,Connecticut,290
3220,CT,2017,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",816,100.0,0.0158513774847034,Connecticut,816
3221,CT,2017,September,Natural & semi-synthetic opioids (T40.2),211,100.0,0.0158513774847034,Connecticut,212
3222,CT,2018,April,"Opioids (T40.0-T40.4,T40.6)",958,100.0,0.00950510107090805,Connecticut,958
3223,CT,2018,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",258,100.0,0.00950510107090805,Connecticut,259
3225,CT,2018,April,Natural & semi-synthetic opioids (T40.2),179,100.0,0.00950510107090805,Connecticut,180
3227,CT,2018,April,"Synthetic opioids, excl. methadone (T40.4)",715,100.0,0.00950510107090805,Connecticut,715
3228,CT,2018,April,Methadone (T40.3),91,100.0,0.00950510107090805,Connecticut,92
3229,CT,2018,April,Heroin (T40.1),395,100.0,0.00950510107090805,Connecticut,395
3230,CT,2018,April,Number of Drug Overdose Deaths,1065,100.0,0.00950510107090805,Connecticut,1065
3231,CT,2018,April,Psychostimulants with abuse potential (T43.6),44,100.0,0.00950510107090805,Connecticut,45
3232,CT,2018,April,Cocaine (T40.5),284,100.0,0.00950510107090805,Connecticut,285
3233,CT,2018,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",855,100.0,0.00950510107090805,Connecticut,855
3234,CT,2018,August,"Opioids (T40.0-T40.4,T40.6)",940,100.0,0.0221455914454744,Connecticut,940
3235,CT,2018,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",237,100.0,0.0221455914454744,Connecticut,238
3236,CT,2018,August,"Synthetic opioids, excl. methadone (T40.4)",739,100.0,0.0221455914454744,Connecticut,740
3238,CT,2018,August,Natural & semi-synthetic opioids (T40.2),165,100.0,0.0221455914454744,Connecticut,166
3239,CT,2018,August,Psychostimulants with abuse potential (T43.6),61,100.0,0.0221455914454744,Connecticut,62
3240,CT,2018,August,Methadone (T40.3),79,100.0,0.0221455914454744,Connecticut,80
3241,CT,2018,August,Heroin (T40.1),365,100.0,0.0221455914454744,Connecticut,365
3243,CT,2018,August,Cocaine (T40.5),301,100.0,0.0221455914454744,Connecticut,302
3244,CT,2018,August,Number of Drug Overdose Deaths,1063,100.0,0.0221455914454744,Connecticut,1063
3245,CT,2018,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",864,100.0,0.0221455914454744,Connecticut,865
3246,CT,2018,December,"Opioids (T40.0-T40.4,T40.6)",957,100.0,0.0286177620910045,Connecticut,958
3247,CT,2018,December,"Synthetic opioids, excl. methadone (T40.4)",779,100.0,0.0286177620910045,Connecticut,781
3249,CT,2018,December,Psychostimulants with abuse potential (T43.6),66,100.0,0.0286177620910045,Connecticut,67
3250,CT,2018,December,Natural & semi-synthetic opioids (T40.2),158,100.0,0.0286177620910045,Connecticut,159
3252,CT,2018,December,Methadone (T40.3),78,100.0,0.0286177620910045,Connecticut,79
3253,CT,2018,December,Heroin (T40.1),342,100.0,0.0286177620910045,Connecticut,343
3254,CT,2018,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",230,100.0,0.0286177620910045,Connecticut,231
3255,CT,2018,December,Number of Drug Overdose Deaths,1070,100.0,0.0286177620910045,Connecticut,1070
3256,CT,2018,December,Cocaine (T40.5),307,100.0,0.0286177620910045,Connecticut,308
3257,CT,2018,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",891,100.0,0.0286177620910045,Connecticut,892
3259,CT,2018,February,Psychostimulants with abuse potential (T43.6),36,100.0,0.009502993442934529,Connecticut,37
3260,CT,2018,February,"Synthetic opioids, excl. methadone (T40.4)",691,100.0,0.009502993442934529,Connecticut,691
3261,CT,2018,February,"Opioids (T40.0-T40.4,T40.6)",951,100.0,0.009502993442934529,Connecticut,951
3263,CT,2018,February,Heroin (T40.1),397,100.0,0.009502993442934529,Connecticut,397
3264,CT,2018,February,Methadone (T40.3),95,100.0,0.009502993442934529,Connecticut,96
3265,CT,2018,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",272,100.0,0.009502993442934529,Connecticut,273
3266,CT,2018,February,Natural & semi-synthetic opioids (T40.2),188,100.0,0.009502993442934529,Connecticut,189
3267,CT,2018,February,Cocaine (T40.5),281,100.0,0.009502993442934529,Connecticut,282
3268,CT,2018,February,Number of Drug Overdose Deaths,1058,100.0,0.009502993442934529,Connecticut,1058
3269,CT,2018,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",844,100.0,0.009502993442934529,Connecticut,844
3271,CT,2018,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",270,100.0,0.00945030713498189,Connecticut,271
3272,CT,2018,January,Psychostimulants with abuse potential (T43.6),39,100.0,0.00945030713498189,Connecticut,40
3273,CT,2018,January,"Synthetic opioids, excl. methadone (T40.4)",684,100.0,0.00945030713498189,Connecticut,684
3274,CT,2018,January,Methadone (T40.3),97,100.0,0.00945030713498189,Connecticut,98
3275,CT,2018,January,Number of Drug Overdose Deaths,1053,100.0,0.00945030713498189,Connecticut,1053
3276,CT,2018,January,"Opioids (T40.0-T40.4,T40.6)",944,100.0,0.00945030713498189,Connecticut,944
3278,CT,2018,January,Heroin (T40.1),405,100.0,0.00945030713498189,Connecticut,405
3279,CT,2018,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",834,100.0,0.00945030713498189,Connecticut,834
3280,CT,2018,January,Cocaine (T40.5),281,100.0,0.00945030713498189,Connecticut,282
3281,CT,2018,January,Natural & semi-synthetic opioids (T40.2),184,100.0,0.00945030713498189,Connecticut,185
3282,CT,2018,July,"Opioids (T40.0-T40.4,T40.6)",947,100.0,0.0221940393151554,Connecticut,947
3283,CT,2018,July,Number of Drug Overdose Deaths,1066,100.0,0.0221940393151554,Connecticut,1066
3285,CT,2018,July,Natural & semi-synthetic opioids (T40.2),167,100.0,0.0221940393151554,Connecticut,168
3286,CT,2018,July,"Synthetic opioids, excl. methadone (T40.4)",735,100.0,0.0221940393151554,Connecticut,736
3287,CT,2018,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",242,100.0,0.0221940393151554,Connecticut,243
3288,CT,2018,July,Heroin (T40.1),371,100.0,0.0221940393151554,Connecticut,371
3290,CT,2018,July,Psychostimulants with abuse potential (T43.6),58,100.0,0.0221940393151554,Connecticut,59
3291,CT,2018,July,Methadone (T40.3),83,100.0,0.0221940393151554,Connecticut,84
3292,CT,2018,July,Cocaine (T40.5),298,100.0,0.0221940393151554,Connecticut,299
3293,CT,2018,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",865,100.0,0.0221940393151554,Connecticut,866
3295,CT,2018,June,Heroin (T40.1),378,100.0,0.0190772948395917,Connecticut,378
3297,CT,2018,June,Psychostimulants with abuse potential (T43.6),57,100.0,0.0190772948395917,Connecticut,58
3298,CT,2018,June,Number of Drug Overdose Deaths,1069,100.0,0.0190772948395917,Connecticut,1069
3299,CT,2018,June,Cocaine (T40.5),294,100.0,0.0190772948395917,Connecticut,295
3300,CT,2018,June,"Synthetic opioids, excl. methadone (T40.4)",739,100.0,0.0190772948395917,Connecticut,740
3301,CT,2018,June,"Opioids (T40.0-T40.4,T40.6)",953,100.0,0.0190772948395917,Connecticut,953
3302,CT,2018,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",868,100.0,0.0190772948395917,Connecticut,868
3303,CT,2018,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",242,100.0,0.0190772948395917,Connecticut,243
3304,CT,2018,June,Natural & semi-synthetic opioids (T40.2),167,100.0,0.0190772948395917,Connecticut,168
3305,CT,2018,June,Methadone (T40.3),83,100.0,0.0190772948395917,Connecticut,84
3307,CT,2018,March,"Opioids (T40.0-T40.4,T40.6)",959,100.0,0.009515653249595591,Connecticut,959
3308,CT,2018,March,Number of Drug Overdose Deaths,1065,100.0,0.009515653249595591,Connecticut,1065
3309,CT,2018,March,Cocaine (T40.5),282,100.0,0.009515653249595591,Connecticut,283
3311,CT,2018,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",265,100.0,0.009515653249595591,Connecticut,266
3312,CT,2018,March,Natural & semi-synthetic opioids (T40.2),179,100.0,0.009515653249595591,Connecticut,180
3313,CT,2018,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",853,100.0,0.009515653249595591,Connecticut,853
3314,CT,2018,March,"Synthetic opioids, excl. methadone (T40.4)",704,100.0,0.009515653249595591,Connecticut,704
3315,CT,2018,March,Methadone (T40.3),96,100.0,0.009515653249595591,Connecticut,97
3316,CT,2018,March,Psychostimulants with abuse potential (T43.6),38,100.0,0.009515653249595591,Connecticut,39
3317,CT,2018,March,Heroin (T40.1),395,100.0,0.009515653249595591,Connecticut,395
3318,CT,2018,May,"Synthetic opioids, excl. methadone (T40.4)",714,100.0,0.0189933523266857,Connecticut,715
3320,CT,2018,May,Psychostimulants with abuse potential (T43.6),51,100.0,0.0189933523266857,Connecticut,52
3322,CT,2018,May,Heroin (T40.1),380,100.0,0.0189933523266857,Connecticut,380
3323,CT,2018,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",243,100.0,0.0189933523266857,Connecticut,244
3324,CT,2018,May,"Opioids (T40.0-T40.4,T40.6)",940,100.0,0.0189933523266857,Connecticut,940
3325,CT,2018,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",844,100.0,0.0189933523266857,Connecticut,844
3326,CT,2018,May,Cocaine (T40.5),283,100.0,0.0189933523266857,Connecticut,284
3327,CT,2018,May,Methadone (T40.3),88,100.0,0.0189933523266857,Connecticut,89
3328,CT,2018,May,Number of Drug Overdose Deaths,1052,100.0,0.0189933523266857,Connecticut,1052
3329,CT,2018,May,Natural & semi-synthetic opioids (T40.2),166,100.0,0.0189933523266857,Connecticut,167
3331,CT,2018,November,"Opioids (T40.0-T40.4,T40.6)",974,100.0,0.0347617241815194,Connecticut,975
3332,CT,2018,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",238,100.0,0.0347617241815194,Connecticut,239
3334,CT,2018,November,"Synthetic opioids, excl. methadone (T40.4)",787,100.0,0.0347617241815194,Connecticut,790
3335,CT,2018,November,Methadone (T40.3),83,100.0,0.0347617241815194,Connecticut,84
3336,CT,2018,November,Number of Drug Overdose Deaths,1097,100.0,0.0347617241815194,Connecticut,1097
3337,CT,2018,November,Psychostimulants with abuse potential (T43.6),64,100.0,0.0347617241815194,Connecticut,65
3338,CT,2018,November,Natural & semi-synthetic opioids (T40.2),163,100.0,0.0347617241815194,Connecticut,164
3339,CT,2018,November,Cocaine (T40.5),314,100.0,0.0347617241815194,Connecticut,316
3340,CT,2018,November,Heroin (T40.1),346,100.0,0.0347617241815194,Connecticut,347
3341,CT,2018,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",907,100.0,0.0347617241815194,Connecticut,909
3342,CT,2018,October,Psychostimulants with abuse potential (T43.6),64,100.0,0.0284270372710044,Connecticut,65
3343,CT,2018,October,Cocaine (T40.5),314,100.0,0.0284270372710044,Connecticut,315
3345,CT,2018,October,"Opioids (T40.0-T40.4,T40.6)",962,100.0,0.0284270372710044,Connecticut,963
3347,CT,2018,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",895,100.0,0.0284270372710044,Connecticut,896
3348,CT,2018,October,"Synthetic opioids, excl. methadone (T40.4)",772,100.0,0.0284270372710044,Connecticut,774
3349,CT,2018,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",239,100.0,0.0284270372710044,Connecticut,240
